Tytuł;Data Zaindeksowania;Link;Cena zł
Kołowrotek OKUMA Fuel Spin 40 FD 1bb 9096281473 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-okuma-fuel-spin-40-fd-1bb-9096281473;09/23/2020 16:31:41;111,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;64266;Marka;inna;Nawój;65 cm;Rozmiar;4000;Moc hamulca;8 kg;Liczba łożysk kulkowych;1;Waga;259 g;Model;FSP-4000, Fuel Spin 40 FD;Waga (z opakowaniem);1 kg
1 szt. Kołowrotek do lodu 9701098592 - Allegro.pl;https://allegro.pl/oferta/1-szt-kolowrotek-do-lodu-9701098592;09/23/2020 16:31:42;16,25;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;desired;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Waga;0 g;Model;desired;Waga (z opakowaniem);0.055 kg
Kołowrotek 9423152819 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-9423152819;09/23/2020 16:31:42;29,71;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;Lutongtrade;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Model;kołowrotek spinningowy;Waga (z opakowaniem);0.098 kg
SPINNINGOWY KOŁOWROTEK MISTRALL TEXA SPIN FD 3000 9013816701 - Allegro.pl;https://allegro.pl/oferta/spinningowy-kolowrotek-mistrall-texa-spin-fd-3000-9013816701;09/23/2020 16:31:41;85,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;KM-1017230;Marka;Mistrall;Przełożenie;5.2:1;Rozmiar;3000;Moc hamulca;7 kg;Liczba łożysk kulkowych;7;Liczba łożysk oporowych;1;Waga;260 g;Model;TEXA SPIN PIKE;Pojemność szpuli;0,20/330;Cechy dodatkowe;szpula zapasowa;Waga (z opakowaniem);0.5 kg
KOŁOWROTEK CORMORAN CorCraft-BR 5PiF 2000 WROCŁAW 9603793302 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-cormoran-corcraft-br-5pif-2000-wroclaw-9603793302;09/23/2020 16:31:41;134,99;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;19-76200;Marka;Cormoran;Model;CORCRAFT BR 5 PIF
KOŁOWROTEK RAPALA VAPOR 5500 9146650567 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-rapala-vapor-5500-9146650567;09/23/2020 16:31:41;126,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT
Śruba uchwytu kołowrotka 9436092174 - Allegro.pl;https://allegro.pl/oferta/sruba-uchwytu-kolowrotka-9436092174;09/23/2020 16:31:42;36,5;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;Lutongtrade;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Waga;0 g;Model;nakrętka uchwytu kołowrotka;Waga (z opakowaniem);0.017 kg
Jaxon Kołowrotek URAN RTI 200 spinning 4 łożyska 7788507399 - Allegro.pl;https://allegro.pl/oferta/jaxon-kolowrotek-uran-rti-200-spinning-4-lozyska-7788507399;09/23/2020 16:31:41;74,9;Stan;Nowy;Faktura;Wystawiam fakturę VAT
2 sztuka podkładką zabezpieczającą 9518024238 - Allegro.pl;https://allegro.pl/oferta/2-sztuka-podkladka-zabezpieczajaca-9518024238;09/23/2020 16:31:42;17,69;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;Blesiya;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Waga;0 g;Model;Kołowrotek z lewej / prawej ręki Ak;Waga (z opakowaniem);0.02 kg
Śruba uchwytu kołowrotka - Fioletowy - lewa ręka 9246137113 - Allegro.pl;https://allegro.pl/oferta/sruba-uchwytu-kolowrotka-fioletowy-lewa-reka-9246137113;09/23/2020 16:31:42;21,44;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;desired;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Model;desired;Waga (z opakowaniem);0.008 kg
2 sztuk torba na wędki (pomarańczowy + zielony) 9399501311 - Allegro.pl;https://allegro.pl/oferta/2-sztuk-torba-na-wedki-pomaranczowy-zielony-9399501311;09/23/2020 16:31:42;35,17;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;desired;Marka;inna;Rodzaj;okrągłoprofilowe;Wersja;na lewą rękę;Przełożenie;7.6:1;Waga;0 g;Model;desired;Cechy dodatkowe;brak;Waga (z opakowaniem);0.093 kg
1 sztuka spinningowego kołowrotka - L. 8783087816 - Allegro.pl;https://allegro.pl/oferta/1-sztuka-spinningowego-kolowrotka-l-8783087816;09/23/2020 16:31:42;23,66;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;desired;Marka;inna;Rodzaj;okrągłoprofilowe;Wersja;na lewą rękę;Przełożenie;7.6:1;Model;desired;Cechy dodatkowe;brak;Waga (z opakowaniem);0.042 kg
KOŁOWROTEK DRAGON BLACK ROCK FD 530 I 8928739567 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-dragon-black-rock-fd-530-i-8928739567;09/23/2020 16:31:41;104,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Marka;Dragon;Przełożenie;5.1:1;Model;BLACK ROCK FD
Śruba uchwytu kołowrotka 9436092158 - Allegro.pl;https://allegro.pl/oferta/sruba-uchwytu-kolowrotka-9436092158;09/23/2020 16:32:28;36,5;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;Lutongtrade;Marka;inna;Przełożenie;7.6:1;Hamulec;tylny;Model;Nakrętka śruby uchwytu kołowrotka;Waga (z opakowaniem);0.017 kg
KOŁOWROTEK LINEAEFFE VIGOR COMMANDO CARP 4000 6767996463 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-lineaeffe-vigor-commando-carp-4000-6767996463;09/23/2020 16:32:26;77,99;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;KL-1286240;Marka;inna;Przełożenie;5.2:1;Model;COMMANDO CARP;Waga (z opakowaniem);1 kg
150m super mocny nylonowy drut żyłkowy powlekany m 8415742787 - Allegro.pl;https://allegro.pl/oferta/150m-super-mocny-nylonowy-drut-zylkowy-powlekany-m-8415742787;09/23/2020 16:32:28;12,92;Stan;Nowy;Faktura;Wystawiam fakturę bez VAT
Robinson kołowrotek Method Crank FD 404 9441308241 - Allegro.pl;https://allegro.pl/oferta/robinson-kolowrotek-method-crank-fd-404-9441308241;09/23/2020 16:32:26;103,25;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;23P-MC-040;Marka;Robinson;Nawój;72 cm;Waga;391 g;Model;Method Crank;Pojemność szpuli;0,25mm/150m;Cechy dodatkowe;szpula zapasowa;Waga (z opakowaniem);1 kg
KOŁOWROTEK MISTRALL EVEIRO FD2000 + GRATISY 6641996083 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-mistrall-eveiro-fd2000-gratisy-6641996083;09/23/2020 16:32:26;99,72;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;KM-1009620;Marka;Mistrall;Przełożenie;5.2:1;Model;EVCEIRO FD 2000;Waga (z opakowaniem);0.35 kg
Kołowrotek Pezon&Michel Redoutable Shadow FV30 8753467878 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-pezon-michel-redoutable-shadow-fv30-8753467878;09/23/2020 16:32:26;119,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT
1 sztuka Fly Fishing Reel Bag 8864257127 - Allegro.pl;https://allegro.pl/oferta/1-sztuka-fly-fishing-reel-bag-8864257127;09/23/2020 16:32:28;24,5;Stan;Nowy;Faktura;Nie wystawiam faktury;Kod producenta;desired;Marka;inna;Rodzaj;okrągłoprofilowe;Wersja;na lewą rękę;Przełożenie;7.6:1;Model;desired;Cechy dodatkowe;brak;Waga (z opakowaniem);0.044 kg
Kołowrotek Shimano Sienna FG 500 8615963109 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-sienna-fg-500-8615963109;09/23/2020 16:32:26;123,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;SN500FG;Marka;Shimano;Przełożenie;5.6:1;Rozmiar;500;Waga;190 g;Model;Sienna FG
Kołowrotek SHIMANO Sienna 2500 FG 8959461837 - Allegro.pl;https://allegro.pl/oferta/kolowrotek-shimano-sienna-2500-fg-8959461837;09/23/2020 16:32:26;121,0;Stan;Nowy;Faktura;Wystawiam fakturę VAT;Kod producenta;SN2500FG;Marka;Shimano;Nawój;71 cm;Rozmiar;2500;Moc hamulca;4 kg;Liczba łożysk kulkowych;3;Liczba łożysk oporowych;1;Waga;250 g;Model;Sienna FG;Waga (z opakowaniem);2 kg
